company,city,county,assigned_trade,needs_category_review,has_description,classification,email,website
Meier Plumbing Inc.,Anaheim,Orange,plumbing,,no,>$3 million to $6 million,granden@meierplumbing.com,https://www.meierplumbing.com
"Mel Smith Electric, Inc.",Stanton,Orange,electrical,,yes,>$10 million to $20 million,mel@melsmithelectric.com,https://www.melsmithelectric.com
"Mesa Energy Systems, Inc.",Irvine,Orange,general-contractor,YES,no,Over $250 million,rlake@emcor.net,https://www.mesaenergy.com
Milender White,Newport Beach,Orange,utility-contractors,,yes,>$50 million to $100 million,amack@milenderwhite.com,https://www.milenderwhite.com
MJR Plumbing,Baldwin Park,Los Angeles,plumbing,,no,>$1 million to $3 million,marcos@mjrplumbing.net,
Morris & Garritano,Irvine,Orange,general-contractor,,yes,Associate,manelli@morrisgarritano.com,https://www.morrisgarritano.com
"MPI - Miller Plumbing, Inc.",San Dimas,Los Angeles,plumbing,,no,>$3 million to $6 million,dave@mpiplumbing.com,https://www.mpiplumbing.com
MTZ Electric LLC,Corona,Riverside,electrical,,no,>$1 million to $3 million,mmartinez@mtz-electric.com,
"Mundy Electric, Inc.",Fullerton,Orange,electrical,,no,$0 to $1 million,mundymryan@aol.com,https://www.mundyelectric.net
"MWC Group, Inc.",Adelanto,San Bernardino,general-contractor,,yes,>$10 million to $20 million,robert.masseth@mwcgroup.net,https://www.mwcgroup.net
"New Automation Control Services, Inc.",Jurupa Valley,Riverside,electrical,,yes,$0 to $1 million,arturo@nacsbusiness.com,https://www.nacsbusiness.com
"New Dimension Masonry, Inc.",San Diego,San Diego,concrete-masonry,,no,>$3 million to $6 million,info@ndminc.com,https://www.ndminc.com
"NKS Mechanical Contracting, Inc.",Anaheim,Orange,hvac,,no,>$1 million to $3 million,nshmara@nksmechanical.com,https://www.nksmechanical.com
NPI Concrete,Sylmar,Los Angeles,concrete-masonry,,no,$0 to $1 million,czarate@npiconcrete.com,https://www.npiconcrete.com
Nustar Electric,Moreno Valley,Riverside,electrical,,no,$0 to $1 million,nustarelectric.nallely@gmail.com,
O’Donnell Electric,Riverside,Riverside,electrical,,no,>$1 million to $3 million,odonnellelectric@gmail.com,https://www.odonnell-electric.com
Oceans Electric Inc.,Woodland Hills,Los Angeles,electrical,,no,$0 to $1 million,production@oceanselectricinc.com,https://www.oceanselectricinc.com
OmniDuct,Buena Park,Orange,hvac,,yes,Supplier,mbullock@omniduct.com,https://www.omniduct.com
On Point Commercial Solar,Valencia,Los Angeles,general-contractor,YES,no,$0 to $1 million,darren@onpointepc.com,
OneSource Distributors,Oceanside,San Diego,electrical,,yes,Supplier,kmcclure@1sourcedist.com,https://www.1sourcedist.com
"Ontario Refrigeration Service, Inc.",Ontario,San Bernardino,hvac,,no,>$6 million to $10 million,ptalleur@ontref.com,https://www.ontref.com
Optima Energy,Artesia,Los Angeles,utility-contractors,,yes,>$1 million to $3 million,young@opnrg.com,https://www.opnrg.com
"Orange Electrical Contractors, Inc.",Orange,Orange,electrical,,no,>$1 million to $3 million,laurel@orangeelectricalinc.com,
Orbit Industries,Bell Gardens,Los Angeles,electrical,,yes,Associate,aaron@orbitelectric.com,https://www.orbitelectric.com
OSHA Training Institute Education Center California State Dominguez Hills,Carson,Los Angeles,general-contractor,YES,no,Industry Professional,osha@csudh.edu,https://www.csudh.edu/osha
"Outsource, LLC",Los Angeles,Los Angeles,electrical,,yes,Associate,eric@outsource.net,https://www.outsource.net
Ovis Electric Inc.,Anaheim,Orange,electrical,,yes,>$3 million to $6 million,ovi@oviselectric.com,https://www.oviselectric.com
P&S Engineering Inc.,Los Angeles,Los Angeles,general-contractor,YES,no,$0 to $1 million,danielsungwork@gmail.com,
P.E.I. Electric,Downey,Los Angeles,electrical,,no,$0 to $1 million,perezelectricinc@yahoo.com,
Pacific Energy Construction Corp.,Northridge,Los Angeles,general-contractor,,no,,tina@pacnrg.com,https://www.pacnrg.com
"Pacific Rim MechanicalContractors, Inc.",San Diego,San Diego,hvac,,no,>$20 million to $50 million,jmouritzen@prmech.com,https://www.prmech.com
Pacific West Industries Inc.,Orange,Orange,hvac,,yes,>$6 million to $10 million,lauren.p@pacwestac.com,https://www.pacwestac.com
"Pardess Air, Inc.",Los Angeles,Los Angeles,general-contractor,YES,no,>$1 million to $3 million,estimating@pardessair.com,
"PCN3, Inc.",Los Alamitos,Orange,general-contractor,,yes,>$50 million to $100 million,info@pcn3.com,https://www.pcn3.com
Peak Controls,Costa Mesa,Orange,general-contractor,YES,no,$0 to $1 million,robertg@peakcontrolsca.com,
"Platinum Construction, Inc.",Stanton,Orange,general-contractor,,no,>$6 million to $10 million,ckail@platconinc.com,
"POLO Engineering, Inc.",Castaic,Los Angeles,general-contractor,YES,no,>$1 million to $3 million,jennifer@poloengineeringinc.com,https://www.poloengineeringinc.com
"Ponderosa Electric, Inc.",Palm Desert,Riverside,electrical,,no,$0 to $1 million,peidale@aol.com,
"Power Pro Plus, Inc.",Rialto,San Bernardino,general-contractor,YES,no,>$1 million to $3 million,foliden@pppi.us,
Power Rise Electric Inc.,Rancho Cucamonga,San Bernardino,electrical,,no,$0 to $1 million,mike.fonseca@prelectric-inc.com,https://www.prelectric-inc.com
"Power Technology Electric Company, Inc.",Santa Ana,Orange,electrical,,no,>$1 million to $3 million,patricia@ptelectric.net,
Pramira Inc.,Brea,Orange,general-contractor,,yes,>$20 million to $50 million,david.krajniak@pramira.com,https://www.pramira.com
"PrimeNet Data Systems, Inc.",Arcadia,Los Angeles,general-contractor,YES,no,$0 to $1 million,daniel@primenetdatasystems.com,
"Pro Tech Electric, Inc.",Corona,Riverside,electrical,,no,$0 to $1 million,jdprotech@earthlink.net,
Pro-Craft Construction,Redlands,San Bernardino,plumbing,,yes,>$20 million to $50 million,info@procraftci.com,https://www.procraftci.com
"Pyro-Comm Systems, Inc.",Irvine,Orange,general-contractor,YES,no,>$20 million to $50 million,jsleigh@pyrocomm.com,
"R.I.C. Construction Co., Inc.",Hesperia,San Bernardino,general-contractor,,no,>$10 million to $20 million,donald.mangold@ricconstruction.com,https://www.ricconstruction.com
"RA Electric, Inc.",Northridge,Los Angeles,electrical,,yes,,james@raelectric.net,https://www.raelectric.net
Radiant Electric LLC,Santa Ana,Orange,electrical,,yes,$0 to $1 million,sam.rdnt@gmail.com,https://www.rdntservices.com
"Rancho Pacific Electric Construction, Inc.",Rancho Cucamonga,San Bernardino,electrical,,yes,>$50 million to $100 million,scottr@rpeinc.net,https://www.ranchopacificelectric.com
"Rancho Pacific Electric, Inc.",Rancho Cucamonga,San Bernardino,electrical,,yes,$0 to $1 million,scottr@rpeinc.net,https://www.ranchopacificelectric.com
"RDM Electric Company, Inc.",Ontario,San Bernardino,electrical,,yes,>$20 million to $50 million,diane@rdmcompanies.com,https://www.rdmcompanies.com
"Red Dragon Electric, Inc.",Garden Grove,Orange,electrical,,no,>$1 million to $3 million,alfredo@reddragonelectric.com,
"Redlands Plumbing, Heating & Air Conditioning",Redlands,San Bernardino,plumbing,,yes,$0 to $1 million,tminer@plumbingandair.com,https://www.plumbingandair.com
"REN Power Systems, Inc.",Canyon Lake,Riverside,electrical,,yes,>$3 million to $6 million,chris@renpowersystems.com,https://www.renpowersystems.com
"Renewable Construction Services, Inc.",Escondido,San Diego,roofing,,yes,>$10 million to $20 million,lkennedy@renewablecsi.com,https://www.renewablecsi.com
"Renewable Energy Partners, Inc.",Corona,Riverside,general-contractor,YES,no,>$6 million to $10 million,tony.springer@renewepi.com,https://www.renewepi.com
"Retrofit Service Company, Inc.",Rancho Cucamonga,San Bernardino,hvac,,yes,>$3 million to $6 million,rsc@retrofitsc.com,https://www.retrofitsc.com
"Rhino Electrical Construction, Inc.",Fontana,San Bernardino,electrical,,no,$0 to $1 million,rhinoelec@aol.com,
Right Wire Electric Inc.,Santa Ana,Orange,electrical,,no,$0 to $1 million,rightwireelectric@yahoo.com,
"Risher Sutherland, Inc. dba United Contractors",San Bernardino,San Bernardino,roofing,,yes,>$3 million to $6 million,info@united-contractors.us,https://www.united-contractors.us
RJ Electric,Orange,Orange,electrical,,yes,>$1 million to $3 million,paul@rjelectric.com,https://www.rjelectric.com
RNL Electric,Burbank,Los Angeles,electrical,,yes,$0 to $1 million,boblorden@att.net,
Rodco Electric Inc.,Rialto,San Bernardino,electrical,,yes,$0 to $1 million,services@rodcoelectrical.com,
RSVC Company,Riverside,Riverside,plumbing,,yes,>$50 million to $100 million,mark@rsvc.com,https://www.rsvc.com
"Russell Sigler, Inc.",Brea,Orange,hvac,,yes,>$10 million to $20 million,jmyers@siglers.com,https://www.siglercommercial.com
"Ryan Electric, Inc.",Ontario,San Bernardino,electrical,,yes,>$1 million to $3 million,ryanelectricinc@verizon.net,
"Rye Electric, Inc.",Laguna Niguel,Orange,electrical,,no,$0 to $1 million,cgolden@ryecompany.com,https://www.ryecompany.com
"Rymax Electric, Inc.",Upland,San Bernardino,electrical,,no,$0 to $1 million,rymaxelectric@gmail.com,
Safeway Building Systems Inc. dba Safeway Electric,Riverside,Riverside,electrical,,yes,>$6 million to $10 million,jkrystafik@safewaybsi.com,https://www.safewaybsi.com
"Sanchez Enterprises, Inc. DBA Sanchez Electric",Chino,San Bernardino,electrical,,yes,$0 to $1 million,sergio@sanchezelectric.com,
"Santa Clarita Electrical, Inc.",Valencia,Los Angeles,electrical,,yes,$0 to $1 million,monty@santaclaritaelectrical.com,
"Seco Electric & Lighting, Inc.",Yorba Linda,Orange,electrical,,no,$0 to $1 million,secoelectricandlighting@gmail.com,
Sergent Construction,Santa Paula,Ventura,general-contractor,,yes,>$6 million to $10 million,info@sergentconstruction.com,https://www.sergentconstruction.com
Shaw Electric Inc.,Anaheim,Orange,electrical,,no,>$1 million to $3 million,mshaw@shawelectriccompany.com,https://www.shawelectriccompany.com
SI Testing,Alta Loma,San Bernardino,general-contractor,YES,no,>$6 million to $10 million,tyler@sitesting.net,https://www.sitesting.net
"Simco Mechanical, Inc.",Altadena,Los Angeles,hvac,,no,$0 to $1 million,cesar@simcomechanical.com,
Skybridge Renewables LLC,Aliso Viejo,Orange,general-contractor,YES,no,>$3 million to $6 million,jason@skybridgeenergy.com,
SoCal Communications Group,Artesia,Los Angeles,general-contractor,YES,yes,>$1 million to $3 million,info@mysocalgroup.com,https://www.mysocalgroup.com
Solar Discovery,Northridge,Los Angeles,general-contractor,YES,no,>$1 million to $3 million,ariel@solarpricediscovery.com,https://www.solarpricediscovery.com
"South Bay Heating & Air Conditioning, Inc.",Long Beach,Los Angeles,hvac,,yes,>$3 million to $6 million,dmiller@southbayhvac.com,https://www.southbayhvac.com
"South Coast Electrical, Inc.",Anaheim,Orange,electrical,,no,>$1 million to $3 million,jritter@scfacilityservices.com,https://www.scfacilityservices.com
"Southern California West Coast Electric, Inc.",Banning,Riverside,electrical,,yes,>$10 million to $20 million,jeannie@scwce.com,https://www.scwce.com
Southwest Industrial Electric,Los Angeles,Los Angeles,electrical,,yes,>$6 million to $10 million,cristiano@southwestelectric.com,https://www.southwestelectric.com
"Strang Heating and Air Conditioning, Inc.",El Cajon,San Diego,hvac,,no,>$1 million to $3 million,strangheating@sbcglobal.net,https://www.strangheatingandair.com
"Stronghold Engineering, Inc.",Perris,Riverside,electrical,,yes,>$50 million to $100 million,bb@teamsei.com,https://www.strongholdengineering.com
"Sunwest Electric, Inc.",Anaheim,Orange,electrical,,no,>$20 million to $50 million,bpariseau@sunwestelect.com,https://www.sunwestelectric.net
"Synergy Systems Integration, LLC",Sherman Oaks,Los Angeles,general-contractor,YES,no,$0 to $1 million,mcruz@synergyllcemail.com,https://www.synergysystemsintegration.com
Tax & Financial Group (TFG),Newport Beach,Orange,general-contractor,,yes,Associate,seth.walston@tfgroup.com,https://www.tfgroup.com
TechNet Partners Inc.,Carlsbad,San Diego,general-contractor,YES,yes,>$6 million to $10 million,bschumann@techpartners.com,https://www.technetpartners.com
"Tekworks, Inc.",San Diego,San Diego,general-contractor,YES,yes,>$20 million to $50 million,krogers@paladintechnologies.com,https://www.tekworks.com
Temp Power Systems,Rancho Santa Margarita,Orange,electrical,,yes,>$3 million to $6 million,cyates@temppower.com,https://www.temppower.com
Teracom Services,Orange,Orange,general-contractor,YES,no,>$6 million to $10 million,lmiller@teracomservice.com,https://www.teracomservices.com
Time & Alarm Systems,Mira Loma,Riverside,general-contractor,YES,yes,>$6 million to $10 million,keithsenn@timeandalarm.com,https://www.timeandalarm.com
TK Electric,Orange,Orange,electrical,,no,>$1 million to $3 million,toddk@tkelectric.biz,
Tradesmen International,Cypress,Orange,general-contractor,,yes,Associate,robert.kazahaya@tradesmeninternational.com,https://www.tradesmeninternational.com
Trans Electric LLC,Thousand Oaks,Ventura,electrical,,no,$0 to $1 million,businessops@transelectricllc.com,
Trench Shoring Company,Compton,Los Angeles,scaffolding,,yes,Associate,ryanm@trenchshoring.com,https://www.trenchshoring.com
"Tri-Pacific Heating and Air Conditioning, LLP",Fullerton,Orange,hvac,,no,>$6 million to $10 million,cknight@amsofusa.com,
Tri-Power Electrical Contractors,Upland,San Bernardino,electrical,,yes,$0 to $1 million,ray@tripowerelectric.com,https://www.tripowerelectric.com
"Tricore Enterprises, Inc.",Riverside,Riverside,general-contractor,YES,yes,>$1 million to $3 million,david@thetricoreteam.com,https://www.thetricoreteam.com
Triple C Electric Inc.,Valencia,Los Angeles,electrical,,yes,>$1 million to $3 million,chris@triplecelectric.com,
"TRL Systems, Inc.",Rancho Cucamonga,San Bernardino,general-contractor,YES,no,>$20 million to $50 million,mpurdy@trlsystems.com,https://www.trlsystems.com
"TVEC, Inc.",Grand Terrace,San Bernardino,general-contractor,YES,no,>$1 million to $3 million,svega@tvecelectric.com,
"Tyler Lighting Services, Inc.",Placentia,Orange,general-contractor,YES,no,>$1 million to $3 million,tyler@tylerlighting.com,https://www.tylerlighting.com
"Valencia Sheet Metal, Inc.",Pacoima,Los Angeles,general-contractor,YES,yes,>$1 million to $3 million,office@valenciasheetmetal.com,
Vazz Electric,Anaheim,Orange,electrical,,no,$0 to $1 million,vazzelectric@gmail.com,https://www.vazzelectric.com
Vc Brite Electric,Oxnard,Ventura,electrical,,no,$0 to $1 million,arturo@vcbriteelectric.com,
"VCCT, Inc.",La Verne,Los Angeles,general-contractor,YES,no,>$3 million to $6 million,djeric@vacomtech.com,https://www.vacomtech.com
Vector USA,Torrance,Los Angeles,general-contractor,YES,yes,>$10 million to $20 million,ltagumasi@vectorusa.com,https://www.vectorusa.com
"Veteran Communication Services, Inc.",Chino,San Bernardino,general-contractor,YES,no,$0 to $1 million,vetcommservice@vetcomm.com,https://www.vetcomm.com
Veteran Electrical Power Systems Inc.,Sylmar,Los Angeles,electrical,,no,>$3 million to $6 million,sergio@vet-eps.com,https://www.vet-eps.com
VHL Plumbing Inc.,Burbank,Los Angeles,plumbing,,no,,vince@vhlplumbing.com,https://www.vhlplumbing.com
"Wakeland Electric, Inc.",Corona,Riverside,electrical,,no,>$1 million to $3 million,pamela@wakelandeletric.com; bids@wakelandelectric.com,https://www.wakelandelectric.com
Wallace Electrical Services Inc.,Orange,Orange,electrical,,yes,>$1 million to $3 million,wallaceelectricjmw@gmail.com,
"Wallace P. Johnson Plumbing and Heating, Inc.",Anaheim,Orange,plumbing,,yes,,dan@johnsonplumbing.com,https://www.johnsonplumbing.com
Walters Wholesale Electric,Brea,Orange,electrical,,yes,Supplier,corporate@walterswholesale.com,https://www.walterswholesale.com
WCC Technologies Group,Chino,San Bernardino,general-contractor,YES,no,>$3 million to $6 million,cory.escano@wcctechgroup.com,https://www.wccable.com
West Coast Air Conditioning Co. Inc.,El Cajon,San Diego,hvac,,no,>$50 million to $100 million,mfisher@wcac.com,
Wu and Associates,San Diego,San Diego,restoration-services,,yes,$0 to $1 million,kirby.wu@wuassociates.com,https://wuassociates.com
"XPRESS Electric, Inc.",Sun Valley,Los Angeles,electrical,,no,$0 to $1 million,xpresselectric@yahoo.com,https://www.xpresselectric.com
Z3 Plumbing,La Habra,Orange,plumbing,,yes,>$3 million to $6 million,adam@z3plumbing.com,
